Last Name,Grantor Tier,Grantor Stage,Wayleave Signed
01 Property Investment Ltd,Tier-2,,0
01 Property Limited,Tier-2,,0
1 & 2 Percival Terrace (Freehold) Limited,Tier-2,,0
100 Bath Road Management Company Limited,Tier-2,,0
100 Osborne Road Limited,Tier-2,,0
101 Belle Vue No 1 Limited,Tier-2,,0
101 Property Management Company Limited,Tier-2,Newly Listed Grantor,0
102 Croft House Management Company Limited,Tier-2,,0
102 Sydney Place (Bath) Limited,Tier-2,,0
102 Waverley Road Limited,Tier-2,,0
103Hst Limited,Tier-2,Newly Listed Grantor,0
103 Marine Parade Management Company Limited,Tier-2,,0
104 Edward Street Brighton Limited,,Newly Listed Grantor,0
104 Huntingdon Road Limited,Tier-2,,0
104 Lower Oldfield Park Bath Limited,Tier-2,Newly Listed Grantor,0
104 Marine Parade (Brighton) Limited,Tier-2,,0
104 Seaside Road Eastbourne Limited,Tier-2,,0
105 Roundhill Crescent Brighton Limited,Tier-2,,0
106 Marina Residents Management Limited,Tier-2,Newly Listed Grantor,0
106 Montgomery Street (Hove) Limited,,Newly Listed Grantor,0
106 Property Group Limited,Tier-2,Newly Listed Grantor,0
106 Stour Road Freehold Limited,Tier-2,Newly Listed Grantor,0
107 Braybrooke Road Limited,Tier-2,Newly Listed Grantor,0
107 East Parade Management Limited,Tier-2,,0
107 Mannamead Management Company Limited,Tier-2,,0
107 Marina Company Limited,Tier-2,Newly Listed Grantor,0
107 Roundhill Crescent Limited,Tier-2,,0
108 Alexandra Road Limited,Tier-2,Newly Listed Grantor,0
108 and 110 Lower Oldfield Park Limited,Tier-2,Newly Listed Grantor,0
108 and 110 Oldfield Park Limited,Tier-2,Newly Listed Grantor,0
108 Brighton Road Limited,Tier-2,Newly Listed Grantor,0
108 Southbourne Road Freehold Limited,Tier-2,Newly Listed Grantor,0
109 Marina Limited,,Newly Listed Grantor,0
109 Rivergreen Freeholders Limited,,Newly Listed Grantor,0
109 Selhurst Road Limited,Tier-2,Newly Listed Grantor,0
109 Southwood Road Management Company Limited,Tier-2,,0
109 Upton Road Management Company Limited,,Newly Listed Grantor,0
10 Anglesea Terrace St Leonards On Sea Limited,Tier-2,Newly Listed Grantor,0
10 Ant Limited,Tier-2,,0
10 Arundel Terrace Brighton Limited,,,0
10 Brock Street (Management) Limited,Tier-2,Newly Listed Grantor,0
10 Camden Crescent (Bath) Limited,Tier-2,,0
10 Catharine Place Bath (Management) Company Limited,Tier-2,,0
10 Cavendish Place (Brighton) Limited,,,0
10 Cavendish Place Bath Management Company Limited,Tier-2,,0
10 Chesham Place Brighton Freeholders Limited,Tier-2,,0
10 Cleveland Place West Management Limited,Tier-2,,0
10 College Road (Brighton) Limited,Tier-2,,0
10 Devonshire Place Brighton Limited,Tier-2,,0
10 Edward Street Management Limited,Tier-2,,0
10 Elliot Street Limited,Tier-2,Newly Listed Grantor,0
10 Elmhyrst Limited,Tier-2,Newly Listed Grantor,0
10 Evelyn Terrace Brighton Limited,Tier-2,,0
10 Franklin Road (Brighton) Management Co Limited,Tier-2,,0
10 George Street (Reading) Management Company Limited,Tier-2,,0
10 Great Pulteney Street Management Company Limited,Tier-2,,0
10 Grosvenor Place (Bath) Limited,Tier-2,,0
10 Henrietta Street (Bath) Management Limited,Tier-2,,0
10 Hill Park Crescent Limited,Tier-2,Newly Listed Grantor,0
10 Kensington Place (Bath) Management Company Limited,Tier-2,,0
10 Landemann Circus Management Company Ltd,Tier-2,Newly Listed Grantor,0
10 Lewes Crescent Limited,Tier-2,,0
10 Magdalen Road Residents Association Limited,Tier-2,Newly Listed Grantor,0
10 Marine Square Brighton Limited,Tier-2,,0
10 Marlborough Buildings (Bath) Management Company Limited,Tier-2,,0
